iter	Passed	Remaining
0	2	2726
1	3	1749
2	4	1392
3	4	1218
4	5	1124
5	6	1104
6	7	1076
7	8	1030
8	9	997
9	9	979
10	10	948
11	11	920
12	11	894
13	12	871
14	13	855
15	13	838
16	14	822
17	14	810
18	15	807
19	16	795
20	16	786
21	17	777
22	18	768
23	18	759
24	19	753
25	19	745
26	20	739
27	21	733
28	21	726
29	22	720
30	22	717
31	23	712
32	24	710
33	25	710
34	25	706
35	26	701
36	26	696
37	27	693
38	27	688
39	28	685
40	29	683
41	29	679
42	30	675
43	30	672
44	31	669
45	32	666
46	32	663
47	33	663
48	34	663
49	34	660
50	35	658
51	36	656
52	36	653
53	37	653
54	37	650
55	38	648
56	39	646
57	39	643
58	40	641
59	40	639
60	41	637
61	42	636
62	42	636
63	43	635
64	44	633
65	44	631
66	45	629
67	45	628
68	46	626
69	47	624
70	47	623
71	48	621
72	48	619
73	49	618
74	49	616
75	50	618
76	51	617
77	52	618
78	52	617
79	53	616
80	54	616
81	54	615
82	55	613
83	56	612
84	56	611
85	57	610
86	58	608
87	58	607
88	59	606
89	59	605
90	60	604
91	61	603
92	61	602
93	62	600
94	62	599
95	63	598
96	64	596
97	64	596
98	65	594
99	65	593
100	66	592
101	67	591
102	67	589
103	68	588
104	69	588
105	69	587
106	70	588
107	71	592
108	72	591
109	72	589
110	73	588
111	74	587
112	74	586
113	75	585
114	75	584
115	76	583
116	77	582
117	77	581
118	78	581
119	79	580
120	79	578
121	80	578
122	80	577
123	81	575
124	82	574
125	82	573
126	83	572
127	83	571
128	84	570
129	85	569
130	85	568
131	86	567
132	87	567
133	87	566
134	88	565
135	88	564
136	89	563
137	89	562
138	90	560
139	91	559
140	91	558
141	92	557
142	92	556
143	93	555
144	94	555
145	94	553
146	95	553
147	96	553
148	96	553
149	97	552
150	98	552
151	98	551
152	99	550
153	100	549
154	100	548
155	101	547
156	101	546
157	102	546
158	103	545
159	103	544
160	104	543
161	104	542
162	105	542
163	106	541
164	106	540
165	107	539
166	107	538
167	108	537
168	109	536
169	109	535
170	110	534
171	110	533
172	111	532
173	112	531
174	112	531
175	113	530
176	113	529
177	114	528
178	115	528
179	115	527
180	116	526
181	116	525
182	117	524
183	118	523
184	118	523
185	119	522
186	119	521
187	120	520
188	121	519
189	121	518
190	122	517
191	122	517
192	123	516
193	124	515
194	124	514
195	125	513
196	125	513
197	126	512
198	127	511
199	127	510
200	128	509
201	128	508
202	129	508
203	129	507
204	130	506
205	131	505
206	131	505
207	132	504
208	133	503
209	133	502
210	134	502
211	134	501
212	135	500
213	135	499
214	136	498
215	137	497
216	137	496
217	138	496
218	138	495
219	139	494
220	140	493
221	140	493
222	141	492
223	141	491
224	142	490
225	143	490
226	143	489
227	144	488
228	144	488
229	145	487
230	146	486
231	146	485
232	147	484
233	147	484
234	148	483
235	149	482
236	149	482
237	150	481
238	151	481
239	151	480
240	152	480
241	153	479
242	153	478
243	154	478
244	154	477
245	155	476
246	156	475
247	156	474
248	157	474
249	157	473
250	158	472
251	159	472
252	159	471
253	160	471
254	160	470
255	161	469
256	162	468
257	162	468
258	163	467
259	163	466
260	164	465
261	165	465
262	165	464
263	166	464
264	167	463
265	167	463
266	168	462
267	169	462
268	169	461
269	170	460
270	170	459
271	171	458
272	172	458
273	172	457
274	173	456
